Category (Health/Education etc),Name of Department/Agency which manages this scheme,Name,Eligibility,Benificiary,Required documents,Mode of application (Online/Offline),"Details of application process (if online, povide the relevant links and other details; if offline, provide details of how an eligible person can apply, sample form/scan image of form etc.)",Offering,Level (Central/State/District/Block),Online availability (Yes/No),Common/Uncommon,Govt/Semi govt.,Hard copy form necessity (Yes/No),What is the soure of this information?,Required Form(Online/Offline),Application site link
,,Group A & B Offices Checklist for Charge Allowance under KCSR Rule 32 & Rule 68.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/pdffiles/Forms_Proc/OfficersChargeAllowanceChkList_201117.pdf
,,Application for Merit Scholarships to the eminent children of Teachers.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/tbfpdfs/T4_Merit_Scholarship.pdf
,,Application for Financial Assistance for Family Maintenance to the families of the deceased teachers (In service/ After retirement).,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/tbfpdfs/T2_FamilyMaintenance.pdf
,,Application for Medical Assistance to Teachers and their dependents.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/tbfpdfs/T1_FamilyMaintenance.pdf
,,Application for obtaining School / College code form KSTBF.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/tbfpdfs/F5_School_Code.pdf
,,Remittance Details Accounts sheet.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/tbfpdfs/F4_AccountsSheet.pdf
,,KSTBF Challen.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/tbfpdfs/F3_KSTBFChallen.pdf
,,KSSWF Challen.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/tbfpdfs/F2_KSSWFChallen.pdf
,,NFTW Challen.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/tbfpdfs/F1_NFTWChallan.pdf
,,Annexure for declaring primary and secondary educational institutions run by minority education institutions as religious or linguistic minority institutions.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/minoedn/MinPdfs/MinVeriTableAnnex1.pdf
,,Format for filling up of Vacant teachers posts in Aided High Schools.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/Secpdfs/Forms/AidedHSTrsVacancyFillUp_Format.pdf
,,School Inspection Formats.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/mms/mmspdfs/SchoolInspectionReport.pdf
,,NGO Inspection Format.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/mms/mmspdfs/NGOInspFormat.pdf
,,Employment certificate by the Employer-Form V(A),,,,,,,,,,,,,,https://karbwwb.karnataka.gov.in/uploads/media_to_upload1689755002.pdf
,,Nursing & Para Medical Scheme,,,,,,,,,,,,,,https://dom.karnataka.gov.in/storage/pdf-files/Nursing%20and%20Paramedical/GNM%20and%20BSc%20Nursing%20Appl.pdf
,,Application of jain temple,,,,,,,,,,,,,,https://dom.karnataka.gov.in/storage/pdf-files/Jain%20and%20Sikh/Application%20of%20jain%20temple.pdf
,,Buddhist Temples - Application,,,,,,,,,,,,,,https://dom.karnataka.gov.in/storage/pdf-files/Jain%20and%20Sikh/Buddhist%20Temples%20-%20Application.pdf
